,Unnamed: 0,image_number,xmin,ymin,xmax,ymax,x_values_odo,y_values_odo,z_values_odo,x_center,y_center,width,height
0,0,0,339.0,61.0,783.0,662.0,2.031,1.019,0.507637,7.0,8.0,5.53,13.34
1,1,1,383.0,43.0,773.0,641.0,2.04,1.036,0.507637,7.22,7.59,4.88,13.28
2,2,2,385.0,48.0,770.0,641.0,2.05,1.054,0.507637,7.19,7.62,4.81,13.16
3,3,2,1017.0,4.0,1280.0,720.0,2.05,1.054,0.507637,14.34,8.03,3.28,15.91
4,4,3,380.0,54.0,773.0,645.0,2.06,1.071,0.508296,7.19,7.75,4.91,13.12
5,5,3,1015.0,2.0,1280.0,720.0,2.06,1.071,0.508296,14.31,8.0,3.31,15.94
6,6,4,384.0,64.0,759.0,638.0,2.069,1.089,0.507637,7.12,7.78,4.69,12.75
7,7,4,1010.0,1.0,1280.0,720.0,2.069,1.089,0.507637,14.31,8.0,3.38,15.97
8,8,5,380.0,55.0,766.0,637.0,2.079,1.106,0.507637,7.16,7.69,4.81,12.91
9,9,5,1021.0,3.0,1280.0,720.0,2.079,1.106,0.507637,14.38,8.0,3.22,15.91
10,10,6,386.0,62.0,772.0,640.0,2.088,1.123,0.506978,7.22,7.78,4.81,12.84
11,11,6,1015.0,1.0,1280.0,720.0,2.088,1.123,0.506978,14.31,8.0,3.31,15.97
12,12,7,382.0,60.0,772.0,641.0,2.098,1.141,0.507637,7.19,7.75,4.88,12.91
13,13,7,1015.0,3.0,1280.0,720.0,2.098,1.141,0.507637,14.31,8.0,3.31,15.91
14,14,8,385.0,65.0,769.0,640.0,2.108,1.158,0.506978,7.19,7.81,4.78,12.75
15,15,8,1015.0,5.0,1280.0,720.0,2.108,1.158,0.506978,14.31,8.03,3.31,15.88
16,16,9,384.0,71.0,772.0,641.0,2.117,1.176,0.508296,7.22,7.91,4.84,12.66
17,17,9,1012.0,1.0,1278.0,719.0,2.117,1.176,0.508296,14.31,8.0,3.31,15.94
18,18,10,383.0,65.0,769.0,641.0,2.127,1.193,0.506978,7.19,7.84,4.81,12.78
19,19,10,1003.0,2.0,1280.0,720.0,2.127,1.193,0.506978,14.25,8.0,3.44,15.94
20,20,11,385.0,50.0,772.0,641.0,2.136,1.211,0.507637,7.22,7.66,4.81,13.12
21,21,11,1015.0,1.0,1277.0,719.0,2.136,1.211,0.507637,14.31,8.0,3.25,15.94
22,22,12,385.0,76.0,770.0,641.0,2.146,1.228,0.507637,7.19,7.94,4.81,12.53
23,23,12,1015.0,1.0,1280.0,720.0,2.146,1.228,0.507637,14.31,8.0,3.31,15.97
24,24,13,385.0,46.0,772.0,641.0,2.154,1.243,0.510271,7.22,7.59,4.81,13.22
25,25,13,1018.0,1.0,1280.0,720.0,2.154,1.243,0.510271,14.34,8.0,3.25,15.97
26,26,14,386.0,61.0,771.0,641.0,2.161,1.256,0.51749,7.22,7.78,4.81,12.88
27,27,14,1015.0,1.0,1280.0,720.0,2.161,1.256,0.51749,14.31,8.0,3.31,15.97
28,28,15,384.0,60.0,768.0,642.0,2.166,1.265,0.525323,7.19,7.78,4.78,12.91
29,29,15,1018.0,1.0,1280.0,720.0,2.166,1.265,0.525323,14.34,8.0,3.25,15.97
30,30,16,387.0,64.0,768.0,644.0,2.169,1.273,0.534406,7.19,7.84,4.75,12.88
31,31,16,1018.0,1.0,1280.0,720.0,2.169,1.273,0.534406,14.34,8.0,3.25,15.97
32,32,17,386.0,64.0,771.0,641.0,2.171,1.277,0.5415,7.22,7.81,4.81,12.81
